Product Name,Price,Rating,Link
"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger","10,999",3.9 out of 5 stars,https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX655V11/ref=sr_1_1
"Samsung Galaxy M16 5G (Thunder Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | Super Amoled Display | AI | 25W Fast Charging | 6 Gen of OS Upgrades | Without Charger","12,999",3.9 out of 5 stars,https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX5MYCRG/ref=sr_1_2
"VIVO Y19 5G (Titanium Silver, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","12,999",4.1 out of 5 stars,https://www.amazon.in/VIVO-Y19-Titanium-Additional-Exchange/dp/B0F3N6SL2N/ref=sr_1_3
"Samsung Galaxy M16 5G (Mint Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | Super Amoled Display | AI | 25W Fast Charging | 6 Gen of OS Upgrades | Without Charger",N/A,3.9 out of 5 stars,https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX798LW2/ref=sr_1_4
"Samsung Galaxy M16 5G (Blush Pink, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | Super Amoled Display | AI | 25W Fast Charging | 6 Gen of OS Upgrades | Without Charger","12,999",3.9 out of 5 stars,https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX791PX9/ref=sr_1_5
"Samsung Galaxy M36 5G (Velvet Black, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography","17,499",3.8 out of 5 stars,https://www.amazon.in/Samsung-Storage-Enhanced-Unmatched-Nightography/dp/B0FDBB2VRC/ref=sr_1_6
"Samsung Galaxy M36 5G (Serene Green, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography","17,499",3.8 out of 5 stars,https://www.amazon.in/Samsung-Storage-Enhanced-Unmatched-Nightography/dp/B0FDB9H277/ref=sr_1_7
"Samsung Galaxy M36 5G (Orange Haze, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography","17,499",3.8 out of 5 stars,https://www.amazon.in/Samsung-Storage-Enhanced-Unmatched-Nightography/dp/B0FDB765TN/ref=sr_1_8
"Vivo Y29 5G (Glacier Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","15,499",4.2 out of 5 stars,https://www.amazon.in/Y29-Glacier-Storage-Additional-Exchange/dp/B07WGPJWQL/ref=sr_1_9
"Vivo Y29 5G (Glacier Blue, 6GB RAM, 128GB Storage)","14,499",4.2 out of 5 stars,https://www.amazon.in/Vivo-Glacier-Blue-128GB-Storage/dp/B0DT7K1GFH/ref=sr_1_10
"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger","15,499",4.1 out of 5 stars,https://www.amazon.in/Samsung-sAMOLED-Display-Battery-Security/dp/B0C7C1DRK5/ref=sr_1_11
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Cooling Chamber| 6000mAh Battery| 120Hz Super AMOLED Display| AI| Without Charger","18,999",4.2 out of 5 stars,https://www.amazon.in/Samsung-Thunder-Storage-Corning-Gorilla/dp/B0D7Z8CJP8/ref=sr_1_12
"VIVO T3x 5G (Celestial Green, 128 GB) (6 GB RAM)","14,980",4.3 out of 5 stars,https://www.amazon.in/Vivo-T3x-Celestial-Green-128/dp/B07WDKKJWK/ref=sr_1_13
"Vivo Y29 5G (Diamond Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","15,499",4.2 out of 5 stars,https://www.amazon.in/Y29-Diamond-Storage-Additional-Exchange/dp/B07WHQQW74/ref=sr_1_14
"Samsung Galaxy F15 5G (Jazzy Green, 6GB RAM, 128 GB Storage)","15,499",4.2 out of 5 stars,https://www.amazon.in/Samsung-Galaxy-Jazzy-Green-Storage/dp/B0CY8D33MQ/ref=sr_1_15
"Samsung Galaxy F15 5G (Groovy Violet, 6GB RAM, 128 GB Storage)",N/A,4.2 out of 5 stars,https://www.amazon.in/Samsung-Galaxy-Groovy-Violet-Storage/dp/B0CY8DMQLW/ref=sr_1_16
"Samsung Galaxy F15 5G (Ash Black, 6GB RAM, 128 GB Storage)",N/A,4.1 out of 5 stars,https://www.amazon.in/Samsung-Galaxy-F15-Black-Storage/dp/B0CY8FR4R7/ref=sr_1_17
