Product Name,Price,Rating,Link
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Walker Best Student &Office Work Laptop|Thin & Light|14.1"" 1920 * 1080 Resolution FHD IPS Display |4GB RAM,128GB SSD|Celeron Processor N4020 (Gemini Lake)| Windows 11 Home | Silver",12990,3.3 out of 5 stars,https://www.amazon.in/Walker-Display-Resolution-Graphics-Mini-HDMI/dp/B0CGVLLWT3/ref=sr_1_33?dib=eyJ2IjoiMSJ9.x0mDx2rz91q7CjoO-BjgYaPzAY82PRMxxiMxC3iGzNpJo6CSitWRiIslvicOb9CLhl1FG480gOrIwsmPTn3_LgwS6bwNrdZYR5DqerQT3a9VPW4gzFB3v6xPtShJuJjD7OrQJ3Zmw50-5EYntq_oSiMu57x1pJ-C2sWRFscJOaZALJR6opjX9s_BPhHRVQGbxq3kN5MjdIfTITQjrw5qTcYikS-BcLIhVHKW3qdULgU.LLH99QELRne-6xTQedK9aTG1xLzqJYdKkXsLyfpvVi8&dib_tag=se&keywords=laptop&qid=1755969269&sr=8-33
"ASUS TUF F16, 14th Gen, Intel Core i7 14650HX, Gaming Laptop(RTX 5060-8GB/115W TGP/16GB/1TB /FHD+/16""/165Hz/90WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Jaeger Gray/2.2 Kg) FX608JMR-RV049WS",139990,4.9 out of 5 stars,https://www.amazon.in/ASUS-14650HX-5060-8GB-Windows-FX608JMR-RV049WS/dp/B0F9X5DSBS/ref=sr_1_34?dib=eyJ2IjoiMSJ9.x0mDx2rz91q7CjoO-BjgYaPzAY82PRMxxiMxC3iGzNpJo6CSitWRiIslvicOb9CLhl1FG480gOrIwsmPTn3_LgwS6bwNrdZYR5DqerQT3a9VPW4gzFB3v6xPtShJuJjD7OrQJ3Zmw50-5EYntq_oSiMu57x1pJ-C2sWRFscJOaZALJR6opjX9s_BPhHRVQGbxq3kN5MjdIfTITQjrw5qTcYikS-BcLIhVHKW3qdULgU.LLH99QELRne-6xTQedK9aTG1xLzqJYdKkXsLyfpvVi8&dib_tag=se&keywords=laptop&qid=1755969269&sr=8-34
"Acer Aspire 3, Intel Core Celeron N4500, 8GB LPDDR4X, 512GB SSD, HD, 14""/35.56cm, Windows 11 Home, Pure Silver, 1.3KG, A324-45, HD Webcam, 38 WHR Laptop",22990,3.4 out of 5 stars,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSTHRD/ref=sr_1_35?dib=eyJ2IjoiMSJ9.x0mDx2rz91q7CjoO-BjgYaPzAY82PRMxxiMxC3iGzNpJo6CSitWRiIslvicOb9CLhl1FG480gOrIwsmPTn3_LgwS6bwNrdZYR5DqerQT3a9VPW4gzFB3v6xPtShJuJjD7OrQJ3Zmw50-5EYntq_oSiMu57x1pJ-C2sWRFscJOaZALJR6opjX9s_BPhHRVQGbxq3kN5MjdIfTITQjrw5qTcYikS-BcLIhVHKW3qdULgU.LLH99QELRne-6xTQedK9aTG1xLzqJYdKkXsLyfpvVi8&dib_tag=se&keywords=laptop&qid=1755969269&sr=8-35
N/A,N/A,Previous page,https://www.amazon.inhttps://aax-eu-zaz.amazon.in/x/c/JE4gc8F2q5hqjVKmMmBNLeIAAAGY1-yuTgoAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDIgICAkySJi/clv1_CEuOPUxokZA0iHrVZuYH0T3gSWp-faMTiY425A2nr_8px39NoC2PGP018HHz9hvVjq0yzpNb3X7OfU1ZBWcAO0lJJT6hH9D2PFgrW1hAWmqMRJogskfB8IkGXCRAUuW6XJeXalC7rdIQEQQ8kV_3ZVhXLA8QC8x8H15tWbp4Xgyay_2WjkwrSxutOI2vKbYuDzUcfMyagcpNBHhtJZhsefQQh8yliMIIKin6O61_zAYOsoJhkeWuV2gvjBmW5lJBN2PMN-SRnR9AjX0lL9xFahCwdXiTzSjwM7idy7a1arUIZWef1aK1xkuNcA7FBIOT3_cq0eVrbNPflqX2CtK5D8lG5NFUQgNpgYkn6vpbHaRYxkpYNxGW_yWr3JYqfnqDdhxLjmOcuEw9_hDILeqtZlpJfJT3hPBne-wSBml9tlZkUux_rAVrRF9I0bxcInIFH-Gzc_r6mO-bWyVNaReipMUTeUmOk2OYfChiJ4snkeH1E39g8pKg8xPmTmFjVYOMr_VkwTthKoxWmj2Ajw-85x_bWgR-Y2A4Ly61XW_0GbfWKhOMGTd0mEAZAg3OfkfrU_0Pj89oQgyJhpZTgsU3XVSZOi98lgp6zP476pipuW8Vvb-f_ZYgVnHu5zjScpWFM2scS8o1ABhn481pGYJ5uToHz6DNZTBDcn8kh8Zv97Ude2sOYCCRqlEdkhzzBNQB4wIG-2k29eQE_90cH2-VPkYf2Yjgb8nd8P3nCG8KKT7ikSLcZsZW7D1E29omWOmXrKBcMhLTn2TR5RPMYAbeH3RllibLAkpWt8pDeNEBQSWC8nkvH_B8gRhjnKuSSVOtVuWyajNb6VDKpuVsRc5qk4SjjEYnzP6yFOOEm8C7vGmRxFXhynMh-1XVvGCUvTL5rqIvkfwinyTmQ_ALU7ssEdOE4MyY9TJfJi0RDlbZoRTQlDtxI3YcZk9rYym_92iaxW-OX_qaw5_r98DZ8j-aX6pPOeCBabTk_XSiZw1dAOsrQjF9RRR-dJfG6w_zYFoeDjei9IJf_gsQeLMP37yo8xZ9vDBSBM-YpkFf4IFikwxVR2e8Zp-OJwa5TJJPOOVsSXOpRIvkGgxWT7e-Z5ahneu9fyHimKFsaskCPlo3D4e6FUecF9pYmH9dDKGXhOHtuMwqdsrzqwwhR-J18Ec2S3B7eeCYGV7zDYgGjtCgnby99CyexlDH3LYrhU1RZ8ASOyGFEmnS1me8XioshF3RP-OSyMBZoIlI0yGY9L5eI0XNI2UIQniE1Ua_vC1zIa3-Qogtleujb3zCTpBdQZowrFsp1rpZi6aWzguYzGWoMsDcadIxFO3Qn_B4kBio7LYHCKoYfwa8_Gjqju8LbUkW36T23tl0819YS55lFcZJsts3l2-4OFmWvs68LnisY4c5FzjgflCzSg7cWSgsZJOLNL2tuUG1Nklx2qg2-qH0mFtkVDUhr44nFNMDHh_cLDKL0zAJOEL-tL-8nTvrEjb6SEDN0jSpQugf4LsS6vcr1lIKhGHkO1uRG3gm7okpw-6HsG78eRdbf-13N7bZRt42JRDit-PZLUuxHVWJKPUeu8Kq58bL5f69XaRjAtBTq_9CX8PzGFzn45flF__pHEcrSTBK5Mv9wrMI0p3E92zrxfO4fVyxKgqOkj9Ji3ZEQraCVCzPPUfC4r8OXFyKsSNs_J8WdAXUaGkWFLt7_fdmZKqUNe1-6pTmaUMqzei8vvW9_vtHQouDvTQMp02lk5cdKx387xZ1sC6i8d94AxOH8wL-luX0-PwAQcd--HjiOOcN5K4t8RuBm4ouBM44faZy9nMzLOLX0V_zW_WqDjbQo6qfFaquzeYT3d0WTdaKsct9jVsuAdVGJbgPoMTzFGjNUo3Oo6xGcvj7euFiRQBuox9Cgd_kbba5hmQmcam4ztcwht3fXXxMvPerzDxOGA3WEdO-ph5v_soGULz16oIBlEsdDixXwLrYdqcX2Aa1RSR4g4THTUVnGuGXlZCRd6KTEmveoscdcW2pVaQfJwHNEdneYxQmUMeRYbTOjC3Nr0dgGfhxCU8eb7oU_3Fgifn67sTXgcNhW8-gZ9w6RaF0eYkJlqd2DgsEUbUmkxX6xGQ8b-aR-MwVcmBF8-RX0BeO0pL7tSpS9ZxAzCWlUzrWeenZQNppE26JMPFpxMBz4hDyETQtxD8uOWs3KU3iLgX1-DKVHNa40i0-gUzTAvgcSL82NJf1F83PQu9bJzMRSy4t_vbvFLr5r9TJvu1HeL95xrHGpYV5tTcd6-3lOEoG-NMxQdolQg34xYf4L8Dij4dhFleofpHkhGTyn8kDeHxyJtiVU7vQ7i99Sr2iD61odk3gpwgNXlsWdjQtoVJriRLlicaZSK0qgg/https://www.amazon.in/stores/page/D4504F10-A478-423E-9572-E377C71D8B65/?_encoding=UTF8&aref=64YY4TTZrS&pd_rd_plhdr=t&pd_rd_i=B0DVGT6YB1&ref_=sbx_be_s_sparkle_ssd_bkg&store_ref=SBV_A10430162UFEE2KOE5SD8-A00343513AR043DBUS2L4&lp_asins=B0DVGT6YB1%2CB0DVH3T94D&pd_rd_w=uAv3Y&content-id=amzn1.sym.0129de59-4e1b-41ce-b5ba-16db0a2e82d1%3Aamzn1.sym.0129de59-4e1b-41ce-b5ba-16db0a2e82d1&pf_rd_p=0129de59-4e1b-41ce-b5ba-16db0a2e82d1&pf_rd_r=W0EJVJ83AG5JSFVK17H7&pd_rd_wg=OTvvt&pd_rd_r=37d236aa-55e4-4815-b740-c21b668434a2
N/A,N/A,N/A,N/A
"ULTIMUS Pro Intel Celeron Dual Core Laptop 4GB RAM, 128GB M.2 Emmc Expandable~512GB Intel HD Graphics 2.0x1 3.0x1 USB HDMI Sd Card Slot ‎LPDDR4 Dual Speaker Dual Microphone Win 11 Home Gray, 1.2 kg",11990,3.2 out of 5 stars,https://www.amazon.in/ULTIMUS-Celeron-Expandable-512GB-Graphics-Microphone/dp/B0D98DS8ZR/ref=sr_1_36?dib=eyJ2IjoiMSJ9.x0mDx2rz91q7CjoO-BjgYaPzAY82PRMxxiMxC3iGzNpJo6CSitWRiIslvicOb9CLhl1FG480gOrIwsmPTn3_LgwS6bwNrdZYR5DqerQT3a9VPW4gzFB3v6xPtShJuJjD7OrQJ3Zmw50-5EYntq_oSiMu57x1pJ-C2sWRFscJOaZALJR6opjX9s_BPhHRVQGbxq3kN5MjdIfTITQjrw5qTcYikS-BcLIhVHKW3qdULgU.LLH99QELRne-6xTQedK9aTG1xLzqJYdKkXsLyfpvVi8&dib_tag=se&keywords=laptop&qid=1755969269&sr=8-36
"HP 15, Ci7-13620H 13th Gen Laptop (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win11, M365 Basic(1yr), Office Home24, Silver,1.65kg, FHD Camera W P. Shutter, Backlit",65990,4.1 out of 5 stars,https://www.amazon.in/HP-Ci7-13620H-Anti-Glare-Micro-Edge-Shutter/dp/B0FJ26H614/ref=sr_1_37?dib=eyJ2IjoiMSJ9.x0mDx2rz91q7CjoO-BjgYaPzAY82PRMxxiMxC3iGzNpJo6CSitWRiIslvicOb9CLhl1FG480gOrIwsmPTn3_LgwS6bwNrdZYR5DqerQT3a9VPW4gzFB3v6xPtShJuJjD7OrQJ3Zmw50-5EYntq_oSiMu57x1pJ-C2sWRFscJOaZALJR6opjX9s_BPhHRVQGbxq3kN5MjdIfTITQjrw5qTcYikS-BcLIhVHKW3qdULgU.LLH99QELRne-6xTQedK9aTG1xLzqJYdKkXsLyfpvVi8&dib_tag=se&keywords=laptop&qid=1755969269&sr=8-37
"DELL Renewed Intel Core i3 11th Gen 1305U - (8 GB/256 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021/1 Year ADP Warranty",33900,4.0 out of 5 stars,https://www.amazon.in/DELL-Renewed-Intel-Core-1305U/dp/B08YC6TP9H/ref=sr_1_38?dib=eyJ2IjoiMSJ9.x0mDx2rz91q7CjoO-BjgYaPzAY82PRMxxiMxC3iGzNpJo6CSitWRiIslvicOb9CLhl1FG480gOrIwsmPTn3_LgwS6bwNrdZYR5DqerQT3a9VPW4gzFB3v6xPtShJuJjD7OrQJ3Zmw50-5EYntq_oSiMu57x1pJ-C2sWRFscJOaZALJR6opjX9s_BPhHRVQGbxq3kN5MjdIfTITQjrw5qTcYikS-BcLIhVHKW3qdULgU.LLH99QELRne-6xTQedK9aTG1xLzqJYdKkXsLyfpvVi8&dib_tag=se&keywords=laptop&qid=1755969269&sr=8-38
